pomucka,kraj,celkem,2020-03-31,2020-04-01,2020-04-03,2020-04-04,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-20,2020-05-21,2020-05-25,2020-05-27,2020-05-28,2020-05-29,2020-06-03,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-08-28,2020-10-01
Rychlotesty,CZ071,98736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97236,97236,97236,97236,97236,97236,97236,97236,97236,97236,97236,98736,98736,98736,98736,98736
Tampóny,CZ071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ071,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Termokamery,CZ071,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,32,32,32,32,32,32,32,32
Štíty,CZ071,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3624,3624,3624,3624,3624
Brýle,CZ072,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150,3150,3150,3150,3150,3150,3150,3150,3170,3170,3170,3170,3170,3170,3170,3170
Dezinfekce (l),CZ072,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,1945,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
Filtry k polomaskám,CZ072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Návleky na obuv,CZ072,9550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,850,850,850,850,3850,3850,3850,9550,9550,9550,9550,9550,9550,9550,9550
Ochranné oděvy,CZ072,51289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9039,9039,15439,15439,15439,41539,41539,41539,50189,50189,50189,51289,51289,51289,51289,51289
Odběrové sady,CZ072,12870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,5700,7700,7700,7700,9370,9370,9370,10370,10370,10370,12870,12870,12870,12870,12870
Ostatní,CZ072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,CZ072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Příslušenství k plicním ventilátorům,CZ072,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ072,310870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242250,242250,250770,250770,250770,265170,265170,265170,275470,275470,275470,310870,310870,310870,310870,310870
Roušky,CZ072,1084180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966651,966651,1028180,1028180,1028180,1032180,1032180,1032180,1032180,1032180,1032180,1084180,1084180,1084180,1084180,1084180
Rukavice,CZ072,445363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395413,395413,397963,397963,397963,400963,400963,400963,416163,416163,416163,445363,445363,445363,445363,445363
Rychlotesty,CZ072,31928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30428,30428,30428,30428,30428,30428,30428,30428,30428,30428,30428,31928,31928,31928,31928,31928
Tampóny,CZ072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ072,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Termokamery,CZ072,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,29,29,29,29,29,29,29,29
Štíty,CZ072,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3565,3565,3580,3580,3580,3680,3680,3680,3880,3880,3880,3880,3880,3880,3880,3880
Brýle,CZ080,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4943,4943,5943,5943,5943,5943,5943,5943,5973,5973,5973,6573,6573,6573,6573,6573
Dezinfekce (l),CZ080,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,4995,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Filtry k polomaskám,CZ080,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,1879,2644,2644,2644,3168,3168,3168,3268,3268,3268,3268,3268,3268,3268,3268
Návleky na obuv,CZ080,17232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12232,12232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232,17232
Ochranné oděvy,CZ080,131001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66151,66151,69551,69551,69551,93151,93151,93151,122901,122901,122901,131001,131001,131001,131001,131001
Odběrové sady,CZ080,78370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,69000,71350,71350,71350,71770,71770,71770,76370,76370,76370,78370,78370,78370,78370,78370
Ostatní,CZ080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ080,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Polomasky,CZ080,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,964,964,964,964,964,964,964,964,964,964,964,964,964,964
Příslušenství k plicním ventilátorům,CZ080,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ080,734201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583121,583121,605101,605101,605101,642801,642801,642801,671601,671601,671601,734201,734201,734201,734201,734201
Roušky,CZ080,2859478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069554,2069554,2201078,2201078,2201078,2209078,2209078,2209078,2218078,2218078,2480478,2859478,2859478,2859478,2859478,2859478
Rukavice,CZ080,850548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685798,685798,700848,700848,700848,717948,717948,717948,749348,749348,749348,850548,850548,850548,850548,850548
Rychlotesty,CZ080,68582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67082,67082,67082,67082,67082,67082,67082,67082,67082,67082,67082,68582,68582,68582,68582,68582
Tampóny,CZ080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ080,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
Termokamery,CZ080,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,36,36,36,36,36,36,36,36
Štíty,CZ080,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498,3498,3518,3518,3518,3618,3618,3618,3818,3818,3818,3928,3928,3928,3928,3928
Brýle,Hlavní město Praha,17770,4131,4241,4466,4466,4466,4466,4466,4466,4568,4568,4568,5113,5137,5143,5344,5344,5344,5564,5564,5564,5564,5609,6854,6854,6854,7960,7960,7960,7960,8869,8869,11047,11047,11047,13592,13592,13592,14038,14038,14038,14448,14448,14448,15648,15648,15648,15648,17770,17770
Dezinfekce (l),Hlavní město Praha,16675,8085,8235,8235,8235,8235,8235,8235,8415,8634,8634,8634,8694,8694,8696,9495,9495,9495,10115,10115,10115,10115,10715,14375,14375,14375,14675,14675,14675,14675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675
Filtry k polomaskám,Hlavní město Praha,19196,0,0,1600,1600,1600,1600,1600,1600,1602,1602,1602,3102,3105,3105,3105,5105,5105,5605,5605,5605,5605,5656,5756,5756,5756,7936,7936,7936,7936,12057,12057,12057,12057,12057,17800,17800,17800,18316,18316,18316,19196,19196,19196,19196,19196,19196,19196,19196,19196
Návleky na obuv,Hlavní město Praha,143530,2530,2530,2530,2530,2530,2530,2530,4530,4530,4530,4530,4530,4530,4530,4530,4530,1554,4530,4530,4530,4530,4530,4580,4580,4580,35580,35580,35580,35580,44730,44730,44730,44730,44730,68230,68230,68230,101930,101930,101930,143530,143530,143530,143530,143530,143530,143530,143530,143530
Ochranné oděvy,Hlavní město Praha,548225,36227,39933,59293,59293,59493,59493,59493,69807,71113,71113,71113,109839,109841,109945,112966,112966,4530,155731,155731,155731,155731,156315,207415,207415,237415,268180,268180,268180,268180,279660,279660,279660,279660,279660,288810,288810,288810,390004,390004,390004,511505,511505,511505,527005,527005,527005,527005,548225,548225
Odběrové sady,Hlavní město Praha,301390,13150,13150,19600,19600,19600,19600,19600,21600,22121,22121,22121,27801,28801,28821,29391,29391,34391,51391,51391,51391,51391,54041,82991,82991,82991,144201,144201,144201,144201,184801,184801,185281,185281,185281,218061,218061,218061,247810,247810,247810,283230,283230,283230,294830,294830,294830,294830,301390,301390
Ostatní,Hlavní město Praha,8676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676
Plicní ventilátory,Hlavní město Praha,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,25,25,25,25,25,25,25,25,25,63,63,63,63,63,63,63,63
Polomasky,Hlavní město Praha,6026,0,0,800,800,800,800,800,800,801,801,801,1551,1554,1554,1554,1554,5105,1804,1804,1804,1804,1844,1895,1895,1895,3000,3000,3000,3000,3340,3340,3340,3340,3340,5990,5990,5990,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026
Příslušenství k plicním ventilátorům,Hlavní město Praha,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Respirátory,Hlavní město Praha,3974564,755785,923623,1101593,1101593,1101093,1267493,1267693,1381763,1402722,1402722,1402722,1223108,1267620,1273652,1282742,1282742,1280742,1717452,1717452,1717452,1717452,1725332,1919460,1919460,1926908,2081328,2081328,2146768,2146768,2306540,2306540,2391180,2391180,2391180,2560145,2560145,2560145,2860153,2860353,2860353,3054044,3054044,3054044,3610084,3610084,3610084,3610084,3974564,3974564
Roušky,Hlavní město Praha,11731497,2043263,2058603,3228703,3228703,3236203,3420203,3420203,3957103,4222510,4222510,4222510,4097119,4097139,4104939,4138489,4138489,4140489,4978037,4978037,4978037,4978037,4983987,5230587,5230587,5230587,5557687,5557687,5884887,5884887,6060999,6060999,6530199,6794999,6794999,7055499,7171742,7171742,7976747,7976747,7976747,8599297,8599297,8599297,11731497,11731497,11731497,11731497,11731497,11731497
Rukavice,Hlavní město Praha,2998304,218200,242540,306300,306300,306300,670300,670300,844300,853300,853300,853300,617078,620198,620198,655238,655238,655238,978038,978038,978038,978038,1045378,1349178,1349178,1457178,1690578,1690578,1808478,1808478,1945247,1945247,2063147,2063147,2063147,2244597,2244597,2244597,2427004,2427004,2427004,2495104,2495104,2495104,2821104,2821104,2821104,2821104,2998304,2998304
Rychlotesty,Hlavní město Praha,136327,19000,19000,19000,19000,19350,19350,19550,19550,19695,19695,19695,29826,33006,36286,36286,36286,36286,69746,69746,69746,69746,81876,100896,100896,100896,102086,102086,102086,102086,123086,123086,131086,131086,131086,132646,132646,132646,132747,132747,132747,133327,133327,133327,136327,136327,136327,136327,136327,136327
Tampóny,Hlavní město Praha,0,3800,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,112966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,Hlavní město Praha,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
Termokamery,Hlavní město Praha,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,47,47,47,47,47,74,74,74,74,74,74,74,74
Štíty,Hlavní město Praha,14865,2292,3112,3727,3727,3827,3827,3827,4133,4348,4348,4348,4903,4903,4908,4908,4908,4908,5483,5483,5483,5483,5703,7474,7474,7474,7634,7634,7634,7634,8804,8804,10229,10229,10229,12264,12264,12264,12765,12765,12765,13665,13665,13665,14865,14865,14865,14865,14865,14865
Brýle,Jihomoravský kraj,5320,1840,1840,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1975,1975,1975,1975,1975,2125,2125,2125,2125,2080,2080,2445,2445,2465,2465,2465,2465,2465,2465,3965,4170,4170,4170,4220,4220,4220,4250,4250,4250,4320,4320,4320,5320,5320,5320,5320,5320
Dezinfekce (l),Jihomoravský kraj,9625,7240,7240,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7780,7780,7780,7780,8080,8080,9060,9060,9100,9100,9100,9100,9100,9100,9100,9620,9620,9620,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625
Filtry k polomaskám,Jihomoravský kraj,6293,0,0,500,500,500,500,500,500,500,500,500,500,872,872,872,872,872,882,882,882,882,882,882,882,882,1682,1682,1682,1682,1682,1682,1682,3313,3313,3313,5403,5403,5403,5853,5853,5853,6293,6293,6293,6293,6293,6293,6293,6293
Návleky na obuv,Jihomoravský kraj,43497,337,337,337,337,337,337,367,367,367,367,367,367,417,417,417,417,436,417,417,417,417,367,367,367,367,5447,5447,5447,5447,5447,5447,5447,10497,10497,10497,10997,10997,10997,16297,16297,16297,43497,43497,43497,43497,43497,43497,43497,43497
Ochranné oděvy,Jihomoravský kraj,209086,9351,9351,13931,13931,17931,17931,27036,27036,27036,27036,27036,31686,41011,53661,53661,53661,417,64046,64046,64046,64046,63021,63021,72086,72086,80346,80346,80346,80346,96846,96846,96846,104926,104926,104926,107436,107436,107436,143386,143386,143386,184386,184386,184386,209086,209086,209086,209086,209086
Odběrové sady,Jihomoravský kraj,152675,3700,3700,8700,8700,23700,23700,25700,25700,25700,25700,25700,25700,28400,38400,38400,38400,38700,45200,45200,45200,45200,54900,54900,60000,72000,84700,84700,84700,84700,86800,86800,86800,104600,104600,104600,119400,119400,119400,126490,126490,126490,141290,141290,141290,152675,152675,152675,152675,152675
Ostatní,Jihomoravský kraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,Jihomoravský kraj,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,22,22,22,22,22,22,22,22
Polomasky,Jihomoravský kraj,2041,0,0,250,250,250,250,250,250,250,250,250,250,436,436,436,436,872,441,441,441,441,441,441,441,441,841,841,841,841,841,841,841,1041,1041,1041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041
Příslušenství k plicním ventilátorům,Jihomoravský kraj,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,Jihomoravský kraj,1098399,82275,82275,149495,149495,152415,152415,184365,206765,206765,206765,206765,261590,322076,323996,323996,323996,323996,412376,412376,412376,412376,398636,435527,457377,457377,480437,480437,521957,521957,577561,577561,639081,661699,661699,661699,673349,673349,673349,739699,739699,739699,791299,791299,791299,1098399,1098399,1098399,1098399,1098399
Roušky,Jihomoravský kraj,4813612,457367,457367,1049367,1049367,1059367,1059367,1263367,1308367,1531407,1531407,1531407,1551927,1576927,1576927,1576927,1576927,1576927,1716527,1716527,1716527,1716527,1693427,1693427,1695327,1695327,1798197,1798197,2005797,2005797,2066252,2066252,2415852,2608552,2608552,2608552,2759412,2759412,2759412,3035412,3035412,3035412,3378412,3378412,3626612,4813612,4813612,4813612,4813612,4813612
Rukavice,Jihomoravský kraj,917734,19150,19150,52150,52150,75150,75150,76300,175300,175300,175300,175300,215894,220353,243553,243553,243553,243553,453153,453153,453153,453153,484994,484994,493494,493494,504194,504194,602594,602594,602594,602594,700994,721184,721184,721184,730284,730284,730284,761334,761334,761334,792534,792534,792534,917734,917734,917734,917734,917734
Rychlotesty,Jihomoravský kraj,61684,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,12724,12724,12724,12724,12724,12724,16934,16934,16934,16934,32934,32934,42184,42184,42184,42184,42184,42184,42184,42184,50184,60184,60184,60184,60184,60184,60184,60184,60184,60184,60184,60184,60184,61684,61684,61684,61684,61684
Tampóny,Jihomoravský kraj,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,53661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,Jihomoravský kraj,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
Termokamery,Jihomoravský kraj,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,41,41,41,41,41,41,41,41
Štíty,Jihomoravský kraj,10065,1774,1774,2524,2524,2524,2524,2544,2544,2544,2544,2544,2544,2614,2614,2614,2614,2614,2682,2682,2682,2682,2692,2692,2782,2782,2832,2832,2832,2832,2832,2832,4332,4992,4992,4992,5007,5007,5007,6107,6107,6107,6307,6307,6307,10065,10065,10065,10065,10065
Brýle,Jihočeský kraj,3303,916,916,916,916,916,922,922,922,922,922,922,922,922,928,928,928,928,1063,1063,1063,1063,1063,1068,1068,1193,1193,1193,1193,1193,1203,1203,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,3303,3303,3303,3303,3303,3303
Dezinfekce (l),Jihočeský kraj,1590,1155,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1585,1585,1585,1585,1585,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
Filtry k polomaskám,Jihočeský kraj,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Návleky na obuv,Jihočeský kraj,510,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,0,270,270,270,270,270,270,270,310,310,310,310,310,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
Ochranné oděvy,Jihočeský kraj,31799,3252,3252,3962,3962,3962,4082,4082,4082,4082,4082,4082,6569,6569,6669,6669,6669,270,8229,8229,8229,8229,8229,9729,9729,29779,29779,29779,29779,29779,30579,30579,30579,30579,30579,30649,30649,30649,30849,30849,30849,31199,31199,31199,31799,31799,31799,31799,31799,31799
Odběrové sady,Jihočeský kraj,5650,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1350,1350,1350,1650,3150,3150,3150,3150,3150,3650,3650,3650,3650,3650,3650,3650,4150,4150,4150,4150,4150,4650,4650,4650,4650,4650,4650,5650,5650,5650,5650,5650,5650,5650,5650,5650
Ostatní,Jihočeský kraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,Jihočeský kraj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,Jihočeský kraj,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Příslušenství k plicním ventilátorům,Jihočeský kraj,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,Jihočeský kraj,340924,31690,31830,46620,46620,46620,51670,51670,62870,62870,62870,62870,92447,112416,113856,113856,113856,113856,138536,138536,138536,138536,138536,158981,158981,161411,161411,161411,182551,182551,281664,281664,322804,322804,322804,323284,323284,323284,324124,324124,324124,325324,325324,325324,340924,340924,340924,340924,340924,340924
Roušky,Jihočeský kraj,1367473,115492,117792,237992,237992,237992,243992,243992,266492,387083,387083,387083,398178,398178,398178,398178,398178,398178,468128,468128,468128,468128,468128,468128,468128,469128,469128,469128,574828,574828,980914,980914,1228614,1228614,1228614,1229064,1292473,1292473,1294473,1294473,1294473,1294473,1294473,1294473,1367473,1367473,1367473,1367473,1367473,1367473
Rukavice,Jihočeský kraj,473028,11850,11990,26350,26350,26350,27250,27250,80250,80250,80250,80250,102198,102198,102198,102198,102198,102198,224798,224798,224798,224798,224798,224798,224798,225598,225598,225598,278398,278398,399378,399378,452178,452178,452178,458928,458928,458928,462028,462028,462028,462228,462228,462228,473028,473028,473028,473028,473028,473028
Rychlotesty,Jihočeský kraj,34343,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8793,8793,8793,8793,8793,8793,9793,9793,9793,9793,9793,14793,14793,14843,14843,14843,14843,14843,24843,24843,32843,32843,32843,32843,32843,32843,32843,32843,32843,32843,32843,32843,34343,34343,34343,34343,34343,34343
Tampóny,Jihočeský kraj,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,6669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,Jihočeský kraj,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Termokamery,Jihočeský kraj,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,23,23,25,25,25,25,25,25
Štíty,Jihočeský kraj,2416,486,486,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,716,716,2216,2216,2216,2216,2216,2216,2316,2316,2316,2316,2316,2316,2416,2416,2416,2416,2416,2416
Brýle,Karlovarský kraj,1810,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,105,105,105,105,105,105,105,105,105,105,1605,1605,1605,1605,1605,1605,1605,1605,1660,1660,1660,1710,1710,1710,1810,1810,1810,1810
Dezinfekce (l),Karlovarský kraj,1355,1155,1185,1185,1185,1185,1190,1190,1190,1190,1190,1190,1190,1190,1205,1205,1205,1205,1205,1205,1205,1205,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1350,1350,1350,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355
Filtry k polomaskám,Karlovarský kraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
